EC;M;T;CO;W;TM;S;F;Classes;;;;;;;
-0,999916255;-0,195285867;0,107142857;2,24137931;5,5;-0,205240175;-0,8625;16,08860759;A;;;;;;;
-0,999917343;0,031043292;0,285714286;0,172413793;6;-0,689956332;-0,9;19,17721519;A;;;;;;;
-0,999823789;0,102234069;0,321428571;-0,517241379;9,333333333;-0,580786026;-0,75;29,05063291;A;;;;;;;
-0,999995978;0,141875707;0,142857143;1,068965517;14,16666667;-0,812227074;-0,7875;19,59493671;A;;;;;;;
-0,999905164;-0,171490478;0,071428571;2,448275862;11,66666667;-0,122270742;-0,975;17,78481013;A;;;;;;;
-0,999994152;0,048948296;-0,25;0,75862069;8,333333333;-0,148471616;-0,825;30,63291139;A;;;;;;;
-0,99972908;0,105197074;-0,035714286;0,517241379;0,833333333;-0,183406114;-0,7625;26,15189873;A;;;;;;;
-0,999805934;0,176326015;0,142857143;1,206896552;8,833333333;-0,890829694;-0,7875;21,24050633;A;;;;;;;
-0,999995663;0,160114134;-0,178571429;2,206896552;7,333333333;0,270742358;-0,7875;20,78481013;A;;;;;;;
-0,999985894;-0,084036343;0,142857143;1,103448276;0;-0,576419214;-0,9625;28,64556962;A;;;;;;;
-0,999996317;0,079386287;0,285714286;1,344827586;6,833333333;-0,170305677;-0,9375;17,81012658;A;;;;;;;
-0,999824644;-0,056441486;0,071428571;0,068965517;7,5;-0,113537118;-0,825;16,65822785;A;;;;;;;
-0,999996712;0,033633153;0,214285714;1,103448276;2,833333333;-0,179039301;-0,8625;26,59493671;A;;;;;;;
-0,999973821;-0,113513794;0,25;0,034482759;7,5;-0,43231441;-0,9125;12,55696203;A;;;;;;;
-0,999896228;0,131022605;-0,285714286;2,275862069;15;0,152838428;-0,8;15,73417722;A;;;;;;;
-0,999977428;-0,03994141;-0,035714286;-0,172413793;11;-0,890829694;-0,925;17,73417722;A;;;;;;;
-0,999903352;-0,130489155;0,071428571;-0,103448276;6,166666667;0,253275109;-0,85;26,20253165;A;;;;;;;
-0,99999121;-0,024484261;0,142857143;2,24137931;0;-0,11790393;-0,8625;20,10126582;A;;;;;;;
-0,99985673;0,125704985;0,035714286;1,379310345;3,833333333;-0,397379913;-0,7625;14,48101266;A;;;;;;;
-0,999951898;0,103192247;0,25;0,827586207;15,66666667;-0,759825328;-0,9125;26,01265823;A;;;;;;;
-0,999883887;-0,028361932;0,035714286;0,793103448;14,83333333;-0,445414847;-0,8875;19,94936709;A;;;;;;;
-0,999995993;-0,056575187;-0,285714286;0,620689655;7,166666667;-0,755458515;-0,75;27,67088608;A;;;;;;;
-0,999956857;-0,197514315;0,25;-0,206896552;9,833333333;-0,790393013;-0,8625;29,78481013;A;;;;;;;
-0,999978679;-0,097130911;0,321428571;-0,931034483;15,66666667;-0,170305677;-0,95;23,25316456;A;;;;;;;
-0,999772577;-0,164281372;-0,25;-0,068965517;1,333333333;-0,978165939;-0,75;14,25316456;A;;;;;;;
-0,999724893;0,060796121;0;1,344827586;9,5;-0,720524017;-0,8;16,78481013;A;;;;;;;
-0,999923314;0,085634232;0,25;0,344827586;15,5;-0,161572052;-0,8625;13,06329114;A;;;;;;;
